servicio,cod_empresa,empresa,centro_poblado,numero_pqrs,latitude,longitude
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BARRANQUILLA,5009,10.9783195607,-74.8132169683
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,VALLEDUPAR,2441,10.4604806696,-73.2593904181
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA MARTA,2438,11.2047725963,-74.2002109893
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CARTAGENA DE INDIAS,2098,10.3849883546,-75.4964264795
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SOLEDAD,1289,10.9101742784,-74.7848339582
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MONTERIA,956,8.75981523965,-75.8732573059
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SINCELEJO,780,9.30233021687,-75.395481772
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,RIOHACHA,436,11.5287502128,-72.9114873118
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MAGANGUE,426,9.26381346247,-74.7667304396
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MALAMBO,268,10.856822692,-74.7748637454
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MAICAO,233,11.3783279454,-72.2419044542
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SABANALARGA,210,10.6328326108,-74.9210950072
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,TURBACO,203,10.332772802,-75.424409165
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PUERTO COLOMBIA,193,11.022939949,-74.851963055
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,GALAPA,165,10.9191614915,-74.8703439389
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,FUNDACION,155,10.5140917977,-74.1913417387
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BARANOA,151,10.7948815688,-74.916106093
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,COROZAL,150,9.31910061656,-75.2931493701
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAHAGUN,146,8.94312756605,-75.4459201696
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL BANCO,143,9.0087359751,-73.9742847149
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CURUMANI,124,9.20181049336,-73.5409854392
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MONTELIBANO,116,7.97377871713,-75.4168167918
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,VALLE DE GAIRA,114,11.1729070837,-74.222529668
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CIENAGA,110,11.0066586077,-74.2412855651
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BECERRIL,109,9.70460046236,-73.2791963317
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA CRUZ DE LORICA,90,9.2407803614,-75.8160972268
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LA JAGUA DE IBIRICO,80,9.56388783532,-73.3342269159
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN MARCOS,78,8.66194596532,-75.134084767
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BOSCONIA,75,9.975094669,-73.888765758
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PLANETA RICA,69,8.40820221055,-75.5832417103
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN JUAN DEL CESAR,66,10.7695782636,-73.0005931272
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PALMAR DE VARELA,62,10.7385825597,-74.7547589307
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CERETE,61,8.88859098259,-75.7961971634
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ROBLES,57,10.3874900073,-73.1713617757
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTO TOMAS,56,10.7587230349,-74.7577207286
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,AGUSTIN CODAZZI,54,10.040457318,-73.2383965158
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,FONSECA,53,10.8866535788,-72.8462546857
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,TAGANGA,53,11.2680714168,-74.1884713549
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SABANILLA (MONTE CARMELO),48,11.0416074929,-74.9150680828
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PIVIJAY,47,10.4606939662,-74.6135180767
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PLATO,47,9.79677054749,-74.784684214
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SABANAGRANDE,47,10.7910757719,-74.7585063109
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA CRUZ DE MOMPOX,45,9.24388275745,-74.4278652943
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,POLONUEVO,43,10.7771663073,-74.8531024212
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,VILLANUEVA,42,10.6088113359,-72.9776225919
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LA LOMA,39,9.61837918961,-73.6006841642
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BUENAVISTA,38,8.22116707849,-75.4808968789
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LA BOQUILLA,38,10.4718051181,-75.4981508977
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ARACATACA,38,10.5897988592,-74.1867609537
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MANAURE BALCON DEL CESAR,38,10.3907748357,-73.0294704117
